Timestamp,What country do you work in?,Where is the closest major city or hub?,Where are you located?,Biotech sub industry?,Company or Institution Name,Company Details - public/private/start-up/ subsidiary of,Company Detail - Approximate Company Size,Role / Title of current position,What degrees do you have?,List other relevant and recognized certifications,[Optional] Briefly describe your position,Years of Experience,Compensation - Annual Base Salary/Pay,Compensation - Overtime Pay,Compensation - Annual Target Bonus ($),Compensation - Annual Equity/Stock Option,Compensation - Most recent annual yearly raise (%),Compensation - Sign on Bonus Value,Compensation - Sign on Stock/Equity Options,Compensation - Retirement Benefits (free text),Compensation - Retirement Percent Match (free text),Compensation - Healthcare Benefits (free text),[OPTIONAL] Sign on - Relocation Assistance Total Value,[Optional] Company Review,"[Optional] Work Life Balance - On average, how many hours do you work per week",Survey Feedback
2024-01-01T16:46:44Z,Canada,Vancouver,NA,Big Pharmaceuticals,Prefer not to say,Private,200-1000,,Masters or Equivalent,None,NA,3,72000,,,,,2500,,,NA,,,,30-40,NA
2024-01-01T16:49:04Z,United States,San Francisco,NA,Biotech,Prefer not to say,Public,200-1000,,Bachelors or Equivalent,RN,NA,20,280000,,,,,0,,,NA,,,,40-50,NA
2024-01-01T16:54:46Z,United States,Nyc,NA,Big Pharmaceuticals,Prefer not to say,Public,5000+,,Bachelors or Equivalent,None,Clinical testing/immunoassays,4,70000,,,,,NA,,,NA,,,,30-40,NA
2024-01-01T16:57:58Z,USA,Boston,NA,Big Pharmaceuticals,Prefer not to say,Public,1000-5000,,PhD or Equivalent,None,NA,14,200000,,,,,NA,,,NA,,,,NA,NA
2024-01-01T16:58:23Z,United States,Boston,NA,Big Pharmaceuticals,AstraZeneca,Public,5000+,,PhD or Equivalent,None,NA,1,122000,,,,,NA,,,NA,,,,50-60,NA
2024-01-01T17:00:42Z,United States,Boston,NA,Industrial Biotech,Prefer not to say,Public,50-200,,PhD or Equivalent,None,NA,10,180000,,,,,NA,,,NA,,,,30-40,NA
2024-01-01T17:11:25Z,US,Washington DC,NA,Industrial Biotech,Novavax,Public,200-1000,,Bachelors or Equivalent,None,Mass Spec Analytical Development,4,115000,,,,,0,,,NA,,,,30-40,NA
2024-01-01T17:12:38Z,USA,Boulder,NA,Mid-size biotech,Prefer not to say,Public,200-1000,,Masters or Equivalent,None,R&D bench Scientist - molecular biology,2,91000,,,,,0,,,NA,,,,30-40,NA
2024-01-01T17:19:07Z,United States,Bay Area,NA,Contract Manufacturing Organization,Thermo Fisher,Public,5000+,,Bachelors or Equivalent,None,NA,1,69500,,,,,0,,,NA,,,,30-40,NA
2024-01-01T17:19:51Z,United states,Bay Are,NA,Big Pharmaceuticals,Prefer not to say,Public,50-200,,Bachelors or Equivalent,Pmp,NA,21,198,,,,,0,,,NA,,,,30-40,NA
2024-01-01T17:28:36Z,USA,New York City,NA,Industrial Biotech,Prefer not to say,Private,1000-5000,,PhD or Equivalent,None,NA,7,160000,,,,,NA,,,NA,,,,40-50,NA
2024-01-01T17:37:49Z,USA,Boston,NA,Big Pharmaceuticals,Prefer not to say,Public,5000+,,PhD or Equivalent,None,"Manage 35+ in office medical affairs staff (medical communications, cross function)",17,350000,,,,,100000,,,NA,,,,40-50,NA
2024-01-01T17:39:42Z,United States,Philadelphia,NA,Big Pharmaceuticals,Prefer not to say,Public,5000+,,PhD or Equivalent,None,NA,3,133000,,,,,NA,,,NA,,,,40-50,NA
2024-01-01T17:40:25Z,United States,Philadelphia,NA,Big Pharmaceuticals,Prefer not to say,Public,5000+,,PhD or Equivalent,None,Process development for pharmaceuticals,2,115000,,,,,0,,,NA,,,,30-40,NA
2024-01-01T18:00:53Z,United Kingdom,Manchester,NA,Contract Research Organization,Intertek,Private,50-200,,Masters or Equivalent,None,NA,5,40000,,,,,0,,,NA,,,,30-40,NA
2024-01-01T18:07:25Z,USA,Bay Area,NA,Medical/Health Devices,Prefer not to say,Private,50-200,,Masters or Equivalent,None,NA,6,163500,,,,,NA,,,NA,,,,NA,NA
2024-01-01T18:07:57Z,United States,Boston,NA,Big Pharmaceuticals,Biogen,Public,5000+,,PhD or Equivalent,None,NA,5,185000,,,,,NA,,,NA,,,,40-50,NA
2024-01-01T18:34:10Z,USA,Houston,NA,Big Pharmaceuticals,Prefer not to say,Start-up,50-200,,PhD or Equivalent,None,Cell based AD,3,104000,,,,,5000,,,NA,,,,30-40,NA
2024-01-01T18:43:34Z,United States of America,Salt Lake City,NA,Genetic Testing,Prefer not to say,Private,200-1000,,PhD or Equivalent,None,Manage clinical assay and software development,5,175000,,,,,NA,,,NA,,,,30-40,NA
2024-01-01T18:51:39Z,USA,BOSTON,NA,Industrial Biotech,Prefer not to say,Start-up,1-50,,Masters or Equivalent,None,NA,1,100000,,,,,NA,,,NA,,,,30-40,NA
2024-01-01T19:11:02Z,United States,Washington DC,NA,Vaccines,Prefer not to say,Public,1000-5000,,Masters or Equivalent,None,NA,20,210000,,,,,10000,,,NA,,,,40-50,NA
2024-01-01T19:15:54Z,United States,Research Triangle,NA,Industrial Biotech,Prefer not to say,Private,50-200,,Bachelors or Equivalent,None,Automation scientist,5,115000,,,,,NA,,,NA,,,,30-40,NA
2024-01-01T19:48:50Z,United States,Atlanta,NA,Biotech Equipment,Prefer not to say,Public,5000+,,PhD or Equivalent,None,Manage a $10M product portfolio with 40 skus,13,150000,,,,,NA,,,NA,,,,50-60,NA
2024-01-01T19:54:32Z,USA,Boston,NA,Contract Manufacturing Organization,Prefer not to say,Private,200-1000,,Masters or Equivalent,None,NA,3,135000,,,,,0,,,NA,,,,<20,NA
2024-01-01T19:56:59Z,United States,San Diego,NA,Academia/Research/Institution,UCSD,Academia/College/Universities,5000+,,Masters or Equivalent,None,NA,3,70000,,,,,0,,,NA,,,,30-40,NA
2024-01-01T20:30:29Z,United States,Denver,NA,Big Pharmaceuticals,Prefer not to say,Public,200-1000,,PhD or Equivalent,None,Manage preclinical testing and modeling of drugs in pipeline,4,128000,,,,,NA,,,NA,,,,30-40,NA
2024-01-01T20:41:01Z,US,Bay Area,NA,Industrial Biotech,Prefer not to say,Start-up,1-50,,PhD or Equivalent,None,NA,1,130000,,,,,8000,,,NA,,,,NA,NA
2024-01-01T20:44:43Z,United States,Boston,NA,Industrial Biotech,Prefer not to say,Public,50-200,,Masters or Equivalent,None,NA,17,185000,,,,,10000,,,NA,,,,40-50,NA
2024-01-01T20:55:55Z,US,Philadelphia,NA,Small pharma,Prefer not to say,Public,200-1000,,PhD or Equivalent,None,Biomarkers,7,170000,,,,,0,,,NA,,,,30-40,NA
2024-01-01T21:19:25Z,USA,Boston,NA,Big Pharmaceuticals,Pfizer,Private,5000+,,Masters or Equivalent,None,NA,4,100000,,,,,5000,,,NA,,,,30-40,NA
2024-01-01T21:32:07Z,United States,Detroit,NA,Big Pharmaceuticals,Pfizer,Private,5000+,,Masters or Equivalent,None,Sr. Scientist - develop bioprocesses for the production of small molecule APIs,6,96000,,,,,NA,,,NA,,,,40-50,NA
2024-01-01T21:39:30Z,United States,Boston,NA,Genome Editing,Arbor Bio,Start-up,50-200,,Bachelors or Equivalent,None,NA,4,82000,,,,,0,,,NA,,,,30-40,NA
2024-01-01T21:51:02Z,United States,Kansas City,NA,Contract Research Organization,Prefer not to say,Private,50-200,,Masters or Equivalent,None,Junior regulatory medical writer,2,110000,,,,,0,,,NA,,,,30-40,NA
2024-01-01T21:59:59Z,United States,New York,NA,Contract Research Organization,Prefer not to say,Start-up,50-200,,PhD or Equivalent,None,NA,4,162500,,,,,10000,,,NA,,,,30-40,NA
2024-01-01T22:12:56Z,USA,Bay Area,NA,Big Pharmaceuticals,Sanofi,Subsidiary,5000+,,Bachelors or Equivalent,None,Senior Research Associate: conducts lab experiments designed mostly by a Senior Scientist as part of a discovery group,2,105,,,,,10000,,,NA,,,,30-40,NA
2024-01-01T22:28:06Z,US,Boston,NA,Biotech,Prefer not to say,Public,200-1000,,Masters or Equivalent,None,NA,7,125000,,,,,0,,,NA,,,,40-50,NA
2024-01-01T23:06:30Z,United States,Research Triangle,NA,Big Pharmaceuticals,Prefer not to say,Public,5000+,,Bachelors or Equivalent,None,NA,3,84000,,,,,NA,,,NA,,,,30-40,NA
2024-01-01T23:14:27Z,United states,Bay area,NA,Industrial Biotech,Prefer not to say,Start-up,1-50,,Masters or Equivalent,None,Protein sciences. Protein purification,2,110000,,,,,0,,,NA,,,,>60,NA
2024-01-01T23:34:32Z,United States,Indianapolis,NA,Contract Manufacturing Organization,Thermofisher,Public,5000+,,Bachelors or Equivalent,None,NA,19,138000,,,,,0,,,NA,,,,30-40,NA
2024-01-01T23:41:43Z,United States,Boston,NA,Big Pharmaceuticals,Prefer not to say,Public,1000-5000,,Bachelors or Equivalent,None,NA,6,125000,,,,,20000,,,NA,,,,NA,NA
2024-01-01T23:44:16Z,United States,Philadelphia,NA,Big Pharmaceuticals,Merck,Public,5000+,,Bachelors or Equivalent,None,NA,6,92000,,,,,0,,,NA,,,,30-40,NA
2024-01-01T23:54:19Z,USA,Bay Area,NA,Food,Prefer not to say,Start-up,50-200,,Bachelors or Equivalent,None,Downstream mfg team lead,3,88000,,,,,NA,,,NA,,,,40-50,NA
2024-01-02T00:10:10Z,Usa,Bay Area,NA,Industrial Biotech,Prefer not to say,Private,50-200,,PhD or Equivalent,None,NA,7,185000,,,,,NA,,,NA,,,,40-50,NA
2024-01-02T00:14:37Z,United States,San diego,NA,Industrial Biotech,Prefer not to say,Public,200-1000,,Bachelors or Equivalent,None,Scientist equivalent level. Manage RA/SRA/AS. Process Development. Subject matter expert.,9,132000,,,,,30000,,,NA,,,,40-50,NA
2024-01-02T00:52:05Z,USA,Pacific NW,NA,Medical/Health Devices,Prefer not to say,Start-up,200-1000,,PhD or Equivalent,None,Technical manager for FDA regulated software/analysis products used by healthcare systems,5,180000,,,,,NA,,,NA,,,,30-40,NA
2024-01-02T01:08:25Z,NA,NA,Canada,Industrial Biotech,Prefer not to say,Start-up,1-50,,Masters or Equivalent,None,NA,1,58000,,,,,NA,,,NA,,,,40-50,NA
2024-01-02T02:07:11Z,NA,NA,West Coast (California & Pacific Northwest),Contract Manufacturing Organization,Prefer not to say,Subsidiary,1000-5000,,"Bachelors or Equivalent, Masters or Equivalent",None,NA,8,130000,,,,,NA,,,NA,,,,NA,NA
2024-01-02T02:39:47Z,NA,NA,France,Big Pharmaceuticals,Prefer not to say,Private,5000+,,PhD or Equivalent,None,NA,1,50000,,,,,NA,,,NA,,,,NA,NA
2024-01-02T02:53:48Z,NA,NA,West Coast (California & Pacific Northwest),Agriculture,Prefer not to say,Start-up,200-1000,,Bachelors or Equivalent,None,NA,5,94000,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-02T03:52:27Z,NA,NA,"Pharma Central (NY, NJ, PA)",Contract Research Organization,Prefer not to say,Public,5000+,,Bachelors or Equivalent,None,CRA,8,142000,,,,,NA,,,NA,,,,30 - 35,NA
2024-01-02T04:11:31Z,NA,NA,United Kingdom and Ireland,Big Pharmaceuticals,Prefer not to say,Public,5000+,,"High School or Equivalent, Bachelors or Equivalent, Masters or Equivalent, PhD or Equivalent",None,Lead development of analysis pipelines (software dev),10,86000,,,,,0,,,NA,,,,36 - 40,NA
2024-01-02T05:13:32Z,NA,NA,West Coast (California & Pacific Northwest),Industrial Biotech,Prefer not to say,Public,50-200,,Bachelors or Equivalent,None,NA,3,75000,,,,,0,,,NA,,,,46 - 50,NA
2024-01-02T05:47:01Z,NA,NA,denmark,Big Pharmaceuticals,novo nordisk,Private,5000+,,PhD or Equivalent,None,NA,4,114500,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-02T06:37:18Z,NA,NA,Germany,Software,Prefer not to say,Start-up,1-50,,PhD or Equivalent,None,NA,1,140000,,,,,0,,,NA,,,,41 - 45,NA
2024-01-02T07:24:14Z,NA,NA,"Carolinas & Southeast (From NC to AR, South FL and LA)",Big Pharmaceuticals,Genmab,Public,1000-5000,,Bachelors or Equivalent,SAS,NA,16,175000,,,,,10000,,,NA,,,,41 - 45,NA
2024-01-02T08:06:12Z,NA,NA,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Prefer not to say,Public,50-200,,Bachelors or Equivalent,None,Director and head of functional area,13,230000,,,,,20000,,,NA,,,,41 - 45,NA
2024-01-02T09:51:04Z,NA,NA,"Pharma Central (NY, NJ, PA)",Contract Research Organization,Curia,Private,1000-5000,,Bachelors or Equivalent,None,NA,5,67000,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-02T10:54:28Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Prefer not to say,Start-up,50-200,,"High School or Equivalent, Associate’s Degree or Equivalent, Bachelors or Equivalent",None,NA,4,120000,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-02T10:59:03Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Sana Biotechnology,Public,200-1000,,Bachelors or Equivalent,None,in vivo pharmacology,11,127500,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-02T12:11:16Z,NA,NA,"DC Metro Area (DC, VA, MD, DE)",Small Biotech,Prefer not to say,Public,50-200,,PhD or Equivalent,None,NA,12,157000,,,,,10000,,,NA,,,,36 - 40,NA
2024-01-02T12:16:41Z,NA,NA,"DC Metro Area (DC, VA, MD, DE)",Pharmacy,Prefer not to say,Start-up,50-200,,Bachelors or Equivalent,None,Client Success Manager - Manage pharma accounts that use our Pharmacy Platform. No management (small company),9,135000,,,,,0,,,NA,,,,36 - 40,NA
2024-01-02T12:17:46Z,NA,NA,"DC Metro Area (DC, VA, MD, DE)",Big Pharmaceuticals,AZ,Public,5000+,,Masters or Equivalent,None,Sr Scientist Biologics Engineering Onc Cell Therapy R&D,10,105840,,,,,3000,,,NA,,,,46 - 50,NA
2024-01-02T12:39:49Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Prefer not to say,Public,5000+,,Bachelors or Equivalent,None,NA,5,103000,,,,,33000,,,NA,,,,36 - 40,NA
2024-01-02T13:00:51Z,NA,NA,"DC Metro Area (DC, VA, MD, DE)",Industrial Biotech,Prefer not to say,Private,1000-5000,,PhD or Equivalent,None,NA,5,135000,,,,,10000,,,NA,,,,41 - 45,NA
2024-01-02T13:51:59Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Prefer not to say,Start-up,200-1000,,Masters or Equivalent,None,Associate scientist for gene therapy startup,3,80000,,,,,NA,,,NA,,,,41 - 45,NA
2024-01-02T14:10:04Z,NA,NA,"DC Metro Area (DC, VA, MD, DE)",Big Pharmaceuticals,Prefer not to say,Start-up,50-200,,Masters or Equivalent,None,NA,10,180000,,,,,NA,,,NA,,,,41 - 45,NA
2024-01-02T14:55:06Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Prefer not to say,Private,200-1000,,PhD or Equivalent,None,"Sr. Scientist  - Platform technologies, support early stage gene editing programs through protein engineering and directed evolution",6,150000,,,,,20000,,,NA,,,,36 - 40,NA
2024-01-02T15:38:44Z,NA,NA,Spain,Academia/Research/Institution,Prefer not to say,Public,5000+,,Masters or Equivalent,None,NA,4,15000,,,,,NA,,,NA,,,,41 - 45,NA
2024-01-02T15:46:20Z,NA,NA,United Kingdom and Ireland,Industrial Biotech,Immunocore,Public,200-1000,,"High School or Equivalent, Bachelors or Equivalent, Masters or Equivalent, PhD or Equivalent",None,Sr scientist lead a research team of junior scientists and technicians,7,60000,,,,,2000,,,NA,,,,41 - 45,NA
2024-01-02T16:19:48Z,NA,NA,"DC Metro Area (DC, VA, MD, DE)",Big Pharmaceuticals,AstraZeneca,Public,5000+,,PhD or Equivalent,None,NA,4,127000,,,,,NA,,,NA,,,,NA,NA
2024-01-02T16:43:26Z,NA,NA,"Midwest (From OH to KS, North to ND)",Big Pharmaceuticals,Pfizer,Public,5000+,,Masters or Equivalent,None,Senior Scientist | Analytical Lead,13,120000,,,,,NA,,,NA,,,,NA,NA
2024-01-02T17:16:06Z,NA,NA,West Coast (California & Pacific Northwest),Medical/Health Devices,Prefer not to say,Private,200-1000,,PhD or Equivalent,None,Manage a team of bioinformatics scientists and engineers making pipeline for clinical diagnostic products,10,225000,,,,,20000,,,NA,,,,NA,NA
2024-01-02T17:33:04Z,NA,NA,West Coast (California & Pacific Northwest),Industrial Biotech,Prefer not to say,Public,1-50,,Bachelors or Equivalent,None,NA,3,75000,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-02T17:44:23Z,NA,NA,Belgium,Academia/Research/Institution,Prefer not to say,Public,1000-5000,,Masters or Equivalent,None,NA,3,35000,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-02T18:10:24Z,NA,NA,West Coast (California & Pacific Northwest),Cell therapy,Prefer not to say,Start-up,1-50,,Masters or Equivalent,None,NA,11,145000,,,,,5000,,,NA,,,,41 - 45,NA
2024-01-02T19:02:01Z,NA,NA,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Prefer not to say,Public,5000+,,PhD or Equivalent,RAPS,Product Development Team Leader - lead cross functional global development team towards approval and commercialization of a clinical-stage asset,18,333000,,,,,75000,,,NA,,,,41 - 45,NA
2024-01-02T19:13:13Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Biotech Equipment,Prefer not to say,Public,1000-5000,,PhD or Equivalent,None,Senior Scientist - develop analytical methods relevant for biologics characterization,4,141000,,,,,10000,,,NA,,,,36 - 40,This is good to see how much people are making
2024-01-02T20:36:11Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Prefer not to say,Public,200-1000,,Bachelors or Equivalent,None,"Own manufacturing deviations, CAPAs and Change Controls.",5,100000,,,,,8000,,,NA,,,,36 - 40,NA
2024-01-02T20:48:33Z,NA,NA,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Kite Pharma,Public,1000-5000,,Masters or Equivalent,None,NA,12,195000,,,,,70000,,,NA,,,,NA,NA
2024-01-02T21:06:02Z,NA,NA,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Prefer not to say,Public,5000+,,Bachelors or Equivalent,None,Commercial,10,200000,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-02T21:16:31Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Takeda,Public,5000+,,Masters or Equivalent,None,IT management,19,285000,,,,,0,,,NA,,,,46 - 50,NA
2024-01-02T21:50:55Z,NA,NA,"Midwest (From OH to KS, North to ND)",Biotech Equipment,Prefer not to say,Public,1000-5000,,Bachelors or Equivalent,None,NA,5,58500,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-02T22:14:19Z,NA,NA,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,J&J,Public,5000+,,PhD or Equivalent,None,Med Chem,4,150000,,,,,10000,,,NA,,,,46 - 50,NA
2024-01-02T22:39:08Z,NA,NA,"Midwest (From OH to KS, North to ND)",Contract Research Organization,Prefer not to say,Public,5000+,,PhD or Equivalent,None,NA,4,94000,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-02T23:09:11Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Prefer not to say,Public,50-200,,Bachelors or Equivalent,None,NA,12,165000,,,,,10000,,,NA,,,,36 - 40,NA
2024-01-02T23:26:25Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Prefer not to say,Private,5000+,,Masters or Equivalent,None,NA,3,115000,,,,,5000,,,NA,,,,46 - 50,NA
2024-01-03T00:12:52Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Prefer not to say,Start-up,50-200,,Bachelors or Equivalent,None,NA,5,90000,,,,,2500,,,NA,,,,36 - 40,NA
2024-01-03T02:08:51Z,NA,NA,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Prefer not to say,Public,200-1000,,PhD or Equivalent,None,NA,8,240000,,,,,NA,,,NA,,,,41 - 45,NA
2024-01-03T02:10:43Z,NA,NA,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Prefer not to say,Start-up,50-200,,Bachelors or Equivalent,None,NA,1,82000,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-03T04:21:51Z,NA,NA,West Coast (California & Pacific Northwest),Industrial Biotech,"Cell therapy in SSF,CA",Public,50-200,,Bachelors or Equivalent,None,NA,7,127,,,,,15000,,,NA,,,,41 - 45,NA
2024-01-03T07:06:13Z,NA,NA,"DC Metro Area (DC, VA, MD, DE)",Industrial Biotech,Prefer not to say,Private,1-50,,PhD or Equivalent,None,Process Development,7,140000,,,,,0,,,NA,,,,46 - 50,NA
2024-01-03T07:12:23Z,NA,NA,EU,Big Pharmaceuticals,Prefer not to say,Public,5000+,,PhD or Equivalent,None,NA,10,150000,,,,,5000,,,NA,,,,36 - 40,NA
2024-01-03T07:59:18Z,NA,NA,"South & Mountain West (TX to AZ, North to MT)",Contract Research Organization,Prefer not to say,Private,1000-5000,,PhD or Equivalent,MBA,"Design clinical trials, clinical monitoring, TA: neuro",2,175000,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-03T08:25:55Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Prefer not to say,Public,5000+,,Masters or Equivalent,None,NA,20,175000,,,,,NA,,,NA,,,,30 - 35,NA
2024-01-03T08:27:53Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Prefer not to say,Private,50-200,,PhD or Equivalent,None,R&D,7,152000,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-03T10:03:10Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Novo Nordisk,Public,5000+,,PhD or Equivalent,None,Scientist II - promoted from Scientist I which is entry role for Phd scientists. In vivo pharmacologist in the company,1,133000,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-03T10:34:20Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Abbvie,Public,5000+,,PhD or Equivalent,None,NA,3,140000,,,,,5000,,,NA,,,,41 - 45,NA
2024-01-03T11:16:36Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Prefer not to say,Start-up,1-50,,PhD or Equivalent,None,Sci I/protein biology,2,120000,,,,,0,,,NA,,,,36 - 40,NA
2024-01-03T11:28:24Z,NA,NA,West Coast (California & Pacific Northwest),Industrial Biotech,Prefer not to say,Start-up,1-50,,PhD or Equivalent,None,NA,13,270000,,,,,NA,,,NA,,,,41 - 45,NA
2024-01-03T12:20:24Z,NA,NA,Canada,Contract Research Organization,Prefer not to say,Private,1-50,,PhD or Equivalent,None,Senior scientist - carry out screening/crystallization on early and late-phase drug candidates; oversee more junior colleagues on the same types of projects.,5,91000,,,,,NA,,,NA,,,,41 - 45,NA
2024-01-03T13:34:05Z,NA,NA,West Coast (California & Pacific Northwest),Contract Research Organization,Prefer not to say,Public,50-200,,Masters or Equivalent,None,NA,11,130000,,,,,0,,,NA,,,,30 - 35,Great survey!
2024-01-03T14:36:11Z,NA,NA,"Midwest (From OH to KS, North to ND)",Academia/Research/Institution,Medidata,Public,1000-5000,,Masters or Equivalent,None,NA,6,120500,,,,,NA,,,NA,,,,36 - 40,NA
2024-01-03T15:22:53Z,NA,NA,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Prefer not to say,Public,5000+,,PhD or Equivalent,None,NA,1,140000,,,,,25000,,,NA,,,,36 - 40,NA
2024-01-03T15:26:10Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Sanofi,Public,5000+,,"Bachelors or Equivalent, PhD or Equivalent",None,NA,3,115000,,,,,0,,,NA,,,,36 - 40,NA
2024-01-03T16:08:14Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Prefer not to say,Private,50-200,,PhD or Equivalent,None,Scientist - Structural Biology,3,133000,,,,,7500,,,NA,,,,36 - 40,NA
2024-01-03T17:19:38Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Prefer not to say,Start-up,1-50,,"Bachelors or Equivalent, PhD or Equivalent",None,NA,1,115000,,,,,15000,,,NA,,,,46 - 50,NA
2024-01-03T18:44:48Z,NA,NA,West Coast (California & Pacific Northwest),Industrial Biotech,Prefer not to say,Public,200-1000,,PhD or Equivalent,None,Independent contributor in early discovery biology,2,125000,,,,,5000,,,NA,,,,36 - 40,NA
2024-01-03T20:32:42Z,NA,NA,"Pharma Central (NY, NJ, PA)",Industrial Biotech,Prefer not to say,Public,5000+,,Bachelors or Equivalent,None,NA,1,77500,,,,,7500,,,NA,,,,36 - 40,NA
2024-01-03T20:37:16Z,NA,NA,"Pharma Central (NY, NJ, PA)",Industrial Biotech,Prefer not to say,Public,200-1000,,PhD or Equivalent,None,Business Development,15,265000,,,,,50000,,,NA,,,,NA,NA
2024-01-03T22:32:42Z,NA,NA,West Coast (California & Pacific Northwest),Industrial Biotech,Prefer not to say,Private,200-1000,,PhD or Equivalent,None,Independent researcher. Basically a postdoc but paid better.,1,130000,,,,,0,,,NA,,,,46 - 50,NA
2024-01-03T22:44:10Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Chemical,Prefer not to say,Start-up,1-50,,PhD or Equivalent,None,NA,0,110000,,,,,NA,,,NA,,,,41 - 45,NA
2024-01-03T23:09:55Z,NA,NA,"South & Mountain West (TX to AZ, North to MT)",Contract Research Organization,Prefer not to say,Private,1-50,,PhD or Equivalent,None,NA,1,90000,,,,,0,,,NA,,,,36 - 40,NA
2024-01-03T23:11:24Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Animal Health,Prefer not to say,Public,5000+,,PhD or Equivalent,None,NA,3,11100,,,,,10000,,,NA,,,,NA,NA
2024-01-03T23:14:35Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Prefer not to say,Public,200-1000,,PhD or Equivalent,None,Sr Director - manage a team of 5,12,260000,,,,,20000,,,NA,,,,46 - 50,NA
2024-01-04T05:39:33Z,NA,NA,West Coast (California & Pacific Northwest),Industrial Biotech,Genentech,Public,5000+,,Masters or Equivalent,None,Scientist III. Developing cell based functional assay to screen large molecule drugs. The bulk of my work is centered around cancer immunotherapy but I have also worked on other diseases such as  fibrosis. What ever disease we are targeting will determine what cells I work with to develop a functional assay to screen for potency and efficacy for these large molecule drug candidates. My work is very independent but I do not have and direct reports and my manager is a PHD senior principal scientist that is very similar to a grad school PI which I report to once a week.,5,135000,,,,,0,,,NA,,,,30 - 35,NA
2024-01-04T06:40:33Z,NA,NA,United Kingdom and Ireland,Industrial Biotech,Prefer not to say,Start-up,1-50,,"Bachelors or Equivalent, Masters or Equivalent, PhD or Equivalent",None,Senior Scientist conducting research in CAR T-cell immunotherapies,3,49350,,,,,0,,,NA,,,,41 - 45,NA
2024-01-04T10:30:19Z,NA,NA,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Prefer not to say,Public,5000+,,Bachelors or Equivalent,None,NA,7,150000,,,,,5000,,,NA,,,,36 - 40,NA
2024-01-04T11:49:55Z,NA,NA,Canada,Big Pharmaceuticals,GSK,Public,5000+,,Bachelors or Equivalent,None,NA,5,80000,,,,,NA,,,NA,,,,41 - 45,NA
2024-01-04T12:09:09Z,NA,NA,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Ring Therapeutics,Start-up,50-200,,Masters or Equivalent,None,Senior RA supporting various viral gene therapy efforts,6,93600,,,,,NA,,,NA,,,,30 - 35,NA
2024-01-04T13:56:15Z,NA,NA,West Coast (California & Pacific Northwest),Industrial Biotech,Prefer not to say,Start-up,1-50,,Bachelors or Equivalent,None,NA,7,130000,,,,,10000,,,NA,,,,30 - 35,NA
