Timestamp,Where is the closest major city or hub?,Biotech sub industry?,Company or Institution Name,Company Details - public/private/start-up/ subsidiary of,Company Detail - Approximate Company Size,Role / Title of current position,Highest achieved Formal Education,Years of Experience,Compensation - Annual Base Salary/Pay,Compensation - Annual Target Bonus ($),Compensation - Annual Equity,Compensation - Sign on Bonus Value,[OPTIONAL] Sign on - Relocation Assistance Total Value,What country do you work in?,Compensation - Overtime Pay,[Optional] Company Review,[Optional] Briefly describe your position,List other relevant and recognized certifications,Compensation - Retirement Benefits (free text),Compensation - Healthcare Benefits (free text),Compensation - Stock Options,Compensation - Most recent annual yearly raise (%),Compensation - Options,Have you one a post-doc?
5/9/2022 0:39:29,Los Angeles,Pharmaceutical (including “big pharma”),NA,Private,50-200,"Vice President, Business Development",Masters or Equivalent,11,230000,150000,100000,50000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/9/2022 0:59:12,UK,Pharmaceutical (including “big pharma”),Novo Nordisk,Public,5000+,Lab Coordinator/tech,Associate’s Degree or Equivalent,3,31200,3120,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/9/2022 1:00:24,UK,Pharmaceutical (including “big pharma”),Evotec,Public,1000-5000,Research associate,Associate’s Degree or Equivalent,4,30000,1500,Not Applicable/None,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/9/2022 1:59:45,"Bloomington, IN, USA",Pharmaceutical (including “big pharma”),Catalent,Public,5000+,Scientist,PhD or Equivalent,4,93000,Not Applicable/None,Not Applicable/None,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/9/2022 6:01:04,RTP,Pharmaceutical (including “big pharma”),Novartis,Public,5000+,Specialist I,Bachelors or Equivalent,3,88000,7000,Not Applicable/None,7000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/9/2022 6:03:37,Bay area,Pharmaceutical (including “big pharma”),NA,Subsidiary,50-200,Research Associate,Bachelors or Equivalent,1,70000,7000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/9/2022 6:21:41,"NY, NY",Pharmaceutical (including “big pharma”),NA,Private,5000+,Associate Scientist,Bachelors or Equivalent,4,70000,8000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/9/2022 6:22:04,Netherlands,Medical Devices,NA,Private,50-200,Molecular Biologist,Bachelors or Equivalent,1,40000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/9/2022 7:43:42,Boston,Pharmaceutical (including “big pharma”),NA,Public,1000-5000,Associate Director,Bachelors or Equivalent,7,192000,48000,95000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/9/2022 8:49:18,New York,Pharmaceutical (including “big pharma”),Pfizer,Public,5000+,Associate Scientist,Bachelors or Equivalent,0,69000,Not Applicable/None,Not Applicable/None,5000,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/9/2022 9:12:19,LA,Pharmaceutical (including “big pharma”),Amgen,Public,5000+,Scientist,PhD or Equivalent,2,140000,16800,10000,25000,60000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/9/2022 9:39:08,Central Maine,Pharmaceutical (including “big pharma”),Eli Lilly and Co,Public,5000+,Senior TS/MS Scientist - Upstream Processes,Masters or Equivalent,3,80800,10%,Not Applicable/None,5000,13000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/9/2022 10:02:04,Boston,Pharmaceutical (including “big pharma”),NA,Start-up,50-200,Associate Scientist,Masters or Equivalent,11,113000,10,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/9/2022 10:57:29,Boston,Pharmaceutical (including “big pharma”),NA,Public,50-200,Sr. Research Associate,Bachelors or Equivalent,3,89000,8900,Not Applicable/None,7000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/9/2022 11:27:55,Ohio,Pharmaceutical (including “big pharma”),NA,Public,200-1000,Scientist II,PhD or Equivalent,3,115000,"17,000",Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/9/2022 11:28:08,Ohio,Pharmaceutical (including “big pharma”),NA,Public,200-1000,Scientist II,PhD or Equivalent,3,115000,"17,000",Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/9/2022 15:07:26,"Salt Lake City, UT",Pharmaceutical (including “big pharma”),BIOMERIEUX,Public,5000+,Associate Scientist,Bachelors or Equivalent,1,28.37,2360,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/9/2022 15:09:15,Los Angeles,Pharmaceutical (including “big pharma”),NA,Public,5000+,Associate Validation Engineer,Bachelors or Equivalent,0,73100,5600,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/9/2022 15:24:52,"Cambridge, MA",Pharmaceutical (including “big pharma”),NA,Public,5000+,Research Scientist II,Masters or Equivalent,1,87000,7%,Not Applicable/None,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/9/2022 16:49:04,Pittsburgh,Pharmaceutical (including “big pharma”),NA,Start-up,1-50,Research Scientist,PhD or Equivalent,3,95000,Not Applicable/None,Not Applicable/None,NA,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/9/2022 18:12:18,RDU,Vendor,Sartorius,Public,1000-5000,Field Application Specialist,Bachelors or Equivalent,8,107000,15000,Not Applicable/None,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/9/2022 20:45:53,Bay Area,Agriculture/Food,NA,Start-up,50-200,Research Associate 2,Bachelors or Equivalent,2,100000,Not Applicable/None,"10,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/9/2022 21:12:52,Bay Area,Pharmaceutical (including “big pharma”),NA,Private,50-200,Production Associate,Bachelors or Equivalent,3,90000,16000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/9/2022 23:50:05,Colorado,Academia/Research,NA,Start-up,1-50,Research Associate III,Bachelors or Equivalent,5,63840,Not Applicable/None,Not Applicable/None,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/10/2022 0:13:58,Bay Area,Pharmaceutical (including “big pharma”),NA,Private,50-200,Senior Research Associate,Bachelors or Equivalent,5,115000,"17,250",Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/10/2022 3:02:47,RTP NC,Biotech,NA,Private,1-50,Research Associate,Masters or Equivalent,1,50000,2500,Not Applicable/None,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/10/2022 5:14:59,"Sacramento, CA",Medical Devices,NA,Subsidiary,1-50,Associate Scientist,PhD or Equivalent,1,65000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/10/2022 7:02:48,"Durham, NC",Agriculture/Food,NA,Start-up,1-50,Scientist,PhD or Equivalent,4,85000,8500,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/10/2022 9:47:40,"San Diego, CA",Medical Devices,Singular Genomics,Public,50-200,Systems Engineer,Bachelors or Equivalent,4,115000,10000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/10/2022 10:03:53,New York,Pharmaceutical (including “big pharma”),NA,Start-up,50-200,Senior Scientist,PhD or Equivalent,6,131000,10000,5000,10000,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/10/2022 10:33:07,SoCal,Pharmaceutical (including “big pharma”),Janssen,Public,5000+,Scientist,PhD or Equivalent,0,121000,14000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/10/2022 12:18:55,Bay Area,Pharmaceutical (including “big pharma”),NA,Public,50-200,Research Associate 2,Masters or Equivalent,3,90000,9000,5000,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/10/2022 12:39:56,Boston,Pharmaceutical (including “big pharma”),NA,Start-up,50-200,Sr. Research Associate,Masters or Equivalent,2,90000,9000,625,8500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/10/2022 16:17:51,Waco,Pharmaceutical (including “big pharma”),AbbVie,Public,5000+,Microbiology Lab Technician 4,Bachelors or Equivalent,3,63771,10%,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/10/2022 17:51:17,Boston,Pharmaceutical (including “big pharma”),NA,Private,1-50,Scientist II,PhD or Equivalent,3,130000,13000,Not Applicable/None,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/10/2022 21:24:16,Bay Area,Pharmaceutical (including “big pharma”),Gilead,Public,5000+,Clinical Trials Manager,Bachelors or Equivalent,6,160000,19200,8000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/10/2022 22:00:56,Bay Area,Biotech Software/SAAS,Dotmatics,Private,200-1000,Product Manager,PhD or Equivalent,4,152000,15000,50k,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/11/2022 0:45:56,HOUSTON,Pharmaceutical (including “big pharma”),It is a CDMO,Public,200-1000,Scientist I,Masters or Equivalent,6,90000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/11/2022 2:50:34,Seattle,Pharmaceutical (including “big pharma”),NA,Start-up,50-200,Research Associate,Bachelors or Equivalent,3,95000,10%,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/11/2022 11:08:07,Boston,Pharmaceutical (including “big pharma”),NA,Public,50-200,Associate Scientist,Bachelors or Equivalent,1,80000,5500,3750,5000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/11/2022 16:08:48,Bay Area,Industrial biotech,NA,Start-up,1-50,Director,PhD or Equivalent,16,220000,20%,Not Applicable/None,33000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/11/2022 16:10:05,Bay Area,Industrial biotech,NA,Start-up,1-50,Principal Scientist,PhD or Equivalent,16,165000,Not Applicable/None,Not Applicable/None,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/11/2022 18:07:37,Toronto,Pharmaceutical (including “big pharma”),Benchsci,Private,200-1000,Science,PhD or Equivalent,5,75000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/11/2022 21:01:20,Boston,Pharmaceutical (including “big pharma”),NA,Public,5000+,Sr. Scientist 1,Masters or Equivalent,7,115000,11000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/11/2022 21:44:32,Boston,Pharmaceutical (including “big pharma”),NA,Public,5000+,Scientist II,PhD or Equivalent,3,150000,30000,35000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/11/2022 23:54:37,Boston,Pharmaceutical (including “big pharma”),NA,Public,1000-5000,Principal scientist,PhD or Equivalent,12,180000,36000,45000,50000,100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/12/2022 5:28:00,San Francisco,Medical Devices,Twist Bioscience,Start-up,200-1000,Manufacturing Associate,Associate’s Degree or Equivalent,0,66000,Not Applicable/None,6000,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/12/2022 10:23:12,Boston,Gene Therapy,NA,Private,50-200,Senior Research Associate,Bachelors or Equivalent,4,90500,2000,Not Applicable/None,3000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/12/2022 10:32:00,Thousand Oaks,Pharmaceutical (including “big pharma”),NA,Private,5000+,PD Senior Associate,Bachelors or Equivalent,6,80293,10% based on salary and review,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/12/2022 17:54:36,Bay Area,Pharmaceutical (including “big pharma”),NA,Start-up,1-50,Scientist III,PhD or Equivalent,6,150000,12000,Not Applicable/None,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/12/2022 19:15:09,RTP North Carolina,Pharmaceutical (including “big pharma”),Cambrex,Private,200-1000,Scientist 1,PhD or Equivalent,1,79560,2,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/12/2022 20:20:18,"RTP/Raleigh, NC",Pharmaceutical (including “big pharma”),NA,Public,200-1000,Manufacturing Associate,Bachelors or Equivalent,1,52000,8%,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/12/2022 21:21:43,"Rockville, MD",Pharmaceutical (including “big pharma”),GSK,Public,5000+,Associate Scientist,Bachelors or Equivalent,3,77500,6200,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/13/2022 3:13:21,San Diego,Pharmaceutical (including “big pharma”),NA,Public,5000+,Sr. Associate II,Bachelors or Equivalent,5,115000,11500,4000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/13/2022 9:51:34,Bay Area,Diagnostics,NA,Public,1000-5000,Scientist II,PhD or Equivalent,2,155000,13500,7000,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/13/2022 10:22:37,"Halifax, Nova Scotia",Pharmaceutical (including “big pharma”),NA,Private,200-1000,Senior Analytical Chemist,Masters or Equivalent,9,74000,Not Applicable/None,Not Applicable/None,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/13/2022 10:47:03,Rockville,Medical Devices,Tetracore,Private,50-200,Mechanical Engineer,Bachelors or Equivalent,2,78600,2000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/14/2022 2:29:51,Bay Area,Medical Devices,NA,Private,50-200,Research Associate 1,Bachelors or Equivalent,1,67000,Not Applicable/None,4000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/14/2022 12:37:31,Boston,Pharmaceutical (including “big pharma”),NA,Public,5000+,Scientist,Bachelors or Equivalent,5,107000,10700,10700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/14/2022 14:10:25,Waltham,Pharmaceutical (including “big pharma”),Sanofi,Private,5000+,Sr. Research Associate,Masters or Equivalent,0,85000,8500,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/14/2022 20:49:09,SF Bay Area,Pharmaceutical (including “big pharma”),NA,Public,200-1000,Associate Director,PhD or Equivalent,10,200000,40000,45000,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/14/2022 20:50:21,San Diego,Pharmaceutical (including “big pharma”),NA,Start-up,1-50,Director,PhD or Equivalent,10,220000,49500,Not Applicable/None,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/15/2022 4:06:21,Los Angeles,Pharmaceutical (including “big pharma”),Takeda,Public,5000+,Quality Analyst I,Bachelors or Equivalent,3,62000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/15/2022 15:06:04,Boston,Pharmaceutical (including “big pharma”),NA,Private,50-200,Scientist I,PhD or Equivalent,0,130000,"13,000",Monopoly money,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/15/2022 15:48:13,Bay area,Academia/Research,NA,Start-up,50-200,Research Associate,Masters or Equivalent,2,85000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/15/2022 22:10:31,Philadelphia Metro Area,Pharmaceutical (including “big pharma”),NA,Private,50-200,Research Associate I,Bachelors or Equivalent,0,49000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/16/2022 9:01:45,Bay Area,Medical Devices,NA,Start-up,50-200,Scientist,PhD or Equivalent,0,130000,Not Applicable/None,Not Applicable/None,NA,8000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/16/2022 11:46:53,Switzerland,Pharmaceutical (including “big pharma”),NA,Public,5000+,Director,Masters or Equivalent,5,200000,20%,Not Applicable/None,NA,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/16/2022 15:54:34,RTP,Biotech,NA,Private,50-200,Research Associate I,Masters or Equivalent,1,50000,"varies >$2,000",Not Applicable/None,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/16/2022 17:41:49,Boston,Pharmaceutical (including “big pharma”),NA,Private,50-200,QC Sr Manager,Bachelors or Equivalent,11,140000,21000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/16/2022 17:59:47,Boston,Pharmaceutical (including “big pharma”),NA,Public,50-200,Senior Manager,Masters or Equivalent,9,130000,24000,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/16/2022 19:01:40,Philadelphia,Pharmaceutical (including “big pharma”),NA,Start-up,50-200,Senior Associate Scientist,Bachelors or Equivalent,6,85000,8500,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/17/2022 10:53:06,"Hayward, CA",Pharmaceutical (including “big pharma”),NA,Public,200-1000,Scientist,PhD or Equivalent,0,145000,14500,Not Applicable/None,10000,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/17/2022 11:47:34,Phoenix,Pharmaceutical (including “big pharma”),NA,Private,1000-5000,Associate Scientist II,PhD or Equivalent,0,107000,5300,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/17/2022 13:25:42,"Ridgefield, CT",Pharmaceutical (including “big pharma”),NA,Private,5000+,Sr. Scientist,PhD or Equivalent,3,120000,Not Applicable/None,Not Applicable/None,0,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/17/2022 14:09:26,Bay Area,Academia/Research,NA,Public,50-200,Sr. Scientist,Masters or Equivalent,7,120000,12000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/17/2022 18:00:13,Cambridge,Pharmaceutical (including “big pharma”),NA,Public,50-200,Research associate II,Masters or Equivalent,0,80000,2400,5000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/17/2022 22:23:40,Greater Boston,Pharmaceutical (including “big pharma”),NA,Public,5000+,Scientist,Bachelors or Equivalent,8,84500,5000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/17/2022 22:59:11,Boston,Pharmaceutical (including “big pharma”),NA,Public,1000-5000,Sr scientist,PhD or Equivalent,3,150000,27000,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/18/2022 16:55:52,Georgia,Pharmaceutical (including “big pharma”),NA,Public,1000-5000,Regulatory Affairs,PhD or Equivalent,8,138000,20000,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/19/2022 12:45:30,Munich,Hematology,NA,Private,200-1000,Technical assistant,Associate’s Degree or Equivalent,0,44200,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/19/2022 22:29:48,Boston,Pharmaceutical (including “big pharma”),Pfizer,Public,5000+,Scientist,Bachelors or Equivalent,6,93500,7500,Not Applicable/None,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/20/2022 17:56:48,Chicago,Industrial Fermentation (CO2 gas fermentation),LanzaTech,Private,200-1000,Scientist,PhD or Equivalent,1,115000,11500,Not Applicable/None,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/20/2022 22:34:04,San Diego,Pharmaceutical (including “big pharma”),NA,Private,5000+,Principal Scientist I,PhD or Equivalent,2,125000,18500,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/21/2022 12:11:47,"Gaithersburg, Maryland",Pharmaceutical (including “big pharma”),Catalent,Public,5000+,Manufacturing Associate 1,Bachelors or Equivalent,0,62500,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/21/2022 21:42:09,"Baltimore, MD",Academia/Research,NA,Private,1000-5000,Biosignals Engineer,Masters or Equivalent,1,84000,Not Applicable/None,Not Applicable/None,4000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/21/2022 23:22:04,Bay Area,Pharmaceutical (including “big pharma”),NA,Start-up,50-200,Senior Research Associate,Masters or Equivalent,4,101000,7000,7000,10000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/23/2022 12:16:59,San Diego,Medical Devices,NA,Public,200-1000,Clinical Scientist,M.D./PharmD/D.D.S. or Equivalent,2,103000,10300,Not Applicable/None,5000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/23/2022 18:39:23,Boston,Pharmaceutical (including “big pharma”),NA,Public,200-1000,"Associate Director, Commercial",PhD or Equivalent,5,180000,36000,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/24/2022 0:17:39,Bay Area,Biotech,NA,Start-up,1-50,Senior Researcher,PhD or Equivalent,0,95000,Not Applicable/None,Will Start offering after a few months,NA,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/24/2022 14:13:57,Boston,Pharmaceutical (including “big pharma”),Ultragenyx,Public,200-1000,Research associate I,Bachelors or Equivalent,0,80000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/24/2022 20:47:24,San Diego,Pharmaceutical (including “big pharma”),NA,Private,50-200,Research Associate I,Bachelors or Equivalent,1,75000,Not Applicable/None,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/25/2022 11:39:26,San Diego,Pharmaceutical (including “big pharma”),NA,Start-up,50-200,Scientist I,PhD or Equivalent,0,120000,12000,options,7000,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/25/2022 13:12:42,New Jersey,Pharmaceutical (including “big pharma”),NA,Public,5000+,Associate principal scientist,PhD or Equivalent,6,136000,21000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/25/2022 22:34:07,Bay Area,Pharmaceutical (including “big pharma”),NA,Public,50-200,Senior Research Associate I,Bachelors or Equivalent,4,102000,8160,10000,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/26/2022 15:20:55,Bay Area,Pharmaceutical (including “big pharma”),NA,Start-up,50-200,Sr. Scientist 2,PhD or Equivalent,7,170000,29750,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/26/2022 19:21:20,Seattle WA,Life Science tools,NA,Public,200-1000,Manufacturing Research Associate I I,Bachelors or Equivalent,2,59500,"2,000","10,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/26/2022 19:29:39,Boston,Pharmaceutical (including “big pharma”),NA,Public,1000-5000,QA Analyst,Bachelors or Equivalent,2,105000,12%,25k,20000,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/26/2022 21:33:27,San Francisco,Pharmaceutical (including “big pharma”),Roche,Public,5000+,System support engineer,Bachelors or Equivalent,6,93000,4600,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2022 18:44:46,Cambridge Massachusetts,Pharmaceutical (including “big pharma”),Pfizer,Public,5000+,Scientist,Bachelors or Equivalent,6,94000,7000,Not Applicable/None,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/28/2022 14:03:39,Houston,Pharmaceutical (including “big pharma”),NA,Public,5000+,Core Technician,Masters or Equivalent,0,49400,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/28/2022 16:38:43,South San Francisco,Academia/Research,NA,Start-up,1-50,Research associate,Bachelors or Equivalent,1,63500,Not Applicable/None,Not Applicable/None,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/28/2022 17:26:14,Boston MA,Pharmaceutical (including “big pharma”),NA,Private,1-50,Senior Scientist,Masters or Equivalent,19,143000,"20,000",Not Applicable/None,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/28/2022 19:39:46,Raleigh,Pharmaceutical (including “big pharma”),NA,Start-up,50-200,Sr Scientist,PhD or Equivalent,3,120000,12000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/30/2022 10:21:24,San Diego,Pharmaceutical (including “big pharma”),NA,Public,5000+,Sr. Scientist,PhD or Equivalent,7,145000,25000,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/30/2022 22:54:41,Boston,Pharmaceutical (including “big pharma”),NA,Public,1000-5000,Manufacturing associate II,Bachelors or Equivalent,3,7550,5000,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/31/2022 2:22:29,"San Diego, CA",Pharmaceutical (including “big pharma”),NA,Start-up,50-200,Director,PhD or Equivalent,19,200000,40000,Not Applicable/None,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/31/2022 4:21:29,San Francisco,Pharmaceutical (including “big pharma”),NA,Public,50-200,Research Associate II,Bachelors or Equivalent,4,102000,10200,2600 Options,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/31/2022 8:49:06,Boston,Cosmetics,Manus bio,Private,50-200,Scientist,PhD or Equivalent,0,103000,Not Applicable/None,25000,NA,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/31/2022 12:10:37,Bay Area,Pharmaceutical (including “big pharma”),NA,Start-up,50-200,Scientist II,PhD or Equivalent,3,132000,Not Applicable/None,Not Applicable/None,NA,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/31/2022 17:19:29,"Houston,TX",Academia/Research,NA,Start-up,50-200,Scientific Development Program Associate,Bachelors or Equivalent,1,65000,6800,73000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/31/2022 19:57:35,nj,Pharmaceutical (including “big pharma”),NA,Private,5000+,qa,Bachelors or Equivalent,6,110000,15000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/31/2022 21:58:14,Montreal,Academia/Research,McGill University,Academia/College/Universities,5000+,Research Technician,Associate’s Degree or Equivalent,3,46592,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/1/2022 17:23:23,DC,Pharmaceutical (including “big pharma”),NA,Public,1000-5000,Director,Bachelors or Equivalent,17,240000,50000,130000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
